"name";"short_name";"address";"signature";"status";"type";"electoral_plenipotentiary";"financial_plenipotentiary";"range";"teryt"
"KOMITET WYBORCZY WYBORCÓW ""ALTERNATYWA DLA GMINY""";"KWW ""ALTERNATYWA DLA GMINY""";"Staw 100, 66-433, Lubiszyn";"DGW-7503-55/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Maciej Józef Kuchar";"Maciej Józef Kuchar";"gm. Lubiszyn";"080105"
"KOMITET WYBORCZY WYBORCÓW ALTERNATYWA DLA GMINY BARDO";"KWW ALTERNATYWA";"Kamieniecka 15b, 57-256 Przyłęk";"DWB-7503-84/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Dariusz Wiesław Prostko";"Dariusz Wiesław Prostko";"gm. Bardo";"022401"
"KOMITET WYBORCZY WYBORCÓW ALTERNATYWA DLA GMINY RACIĄŻEK";"KWW ALTERNATYWA DLA GMINY RACIĄŻEK";"ul. Nadgórna 11, 87-721 Raciążek";"DWŁ-7503-70/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Stanisław Kostecki";"Stanisław Kostecki";"gm. Raciążek";"040107"
"KOMITET WYBORCZY WYBORCÓW ALTERNATYWA DLA GMINY SUŁOSZOWA";"KWW ALTERNATYWA DLA GMINY SUŁOSZOWA";"32-045 Sułoszowa II 64";"DKR-7503-19/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Przemysław Rosa";"Przemysław Rosa";"gm. Sułoszowa";"120613"
"KOMITET WYBORCZY WYBORCÓW ALTERNATYWA DLA GMINY WOJNICZ";"KWW ALTERNATYWA DLA GMINY WOJNICZ";"ul. Konopnickiej 46, 32-830 Wojnicz";"DTA-7503-164/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Stanisław Plichta";"Teresa Anna Będkowska";"woj. małopolskie";""
"KOMITET WYBORCZY WYBORCÓW ALTERNATYWA DLA GRYFINA";"KWW ALTERNATYWA DLA GRYFINA";"ul. Krasińskiego 62/6, 74-101, Gryfino";"DSZ-7503-324/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Zofia Górkiewicz";"Janusz Durmaj";"woj. zachodniopomorskie";""
"KOMITET WYBORCZY WYBORCÓW ALTERNATYWA DLA KOŃCZYC";"KWW ALTERNATYWA DLA KOŃCZYC";"ul. J. Korczaka 26, 43-410, Kończyce Małe";"DBB-7503-238/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Damian Andrzej Machej";"Damian Andrzej Machej";"gm. Zebrzydowice";"240312"
"KOMITET WYBORCZY WYBORCÓW ALTERNATYWA DLA PYRZYC";"KWW ALTERNATYWA DLA PYRZYC";"74-211, Brzesko 48/1";"DSZ-7503-119/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Jan Stanisław Zaprawa";"Marek Roman Orliński";"woj. zachodniopomorskie";""
"KOMITET WYBORCZY WYBORCÓW ""ALTERNATYWA DLA SULMIERZYC""";"KWW ""ALTERNATYWA DLA SULMIERZYC""";"ul. Piotra Zielezińskiego 13, 63-750 Sulmierzyce";"DKL-7503-8/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Wojciech Ostojski";"Wojciech Ostojski";"m. Sulmierzyce";"301201"
"KOMITET WYBORCZY WYBORCÓW ALTERNATYWA DLA TCZEWA";"KWW ALTERNATYWA DLA TCZEWA";"ul. H. Hass 25B/4, 83-110, Tczew";"DGD-7503-30/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Rafał Grzenkowicz";"Lucyna Grzenkowicz";"woj. pomorskie";""
"KOMITET WYBORCZY WYBORCÓW ALTERNATYWA ŻORSKA";"KWW ALTERNATYWA ŻORSKA";"ul. Owocowa 4, 44-240, Żory";"DBB-7503-197/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Piotr Augustyn Siejok";"Dawid Eugeniusz Widera";"woj. śląskie";""
"KOMITET WYBORCZY WYBORCÓW ALTERNATYWNY KOMITET WYBORCZY";"KWW AKW";"ul. Korfantego 43, 46-080 Chróścice";"DOP1-7503-62/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Janusz Więcław";"Janusz Więcław";"gm. Dobrzeń Wielki";"160903"
"KOMITET WYBORCZY WYBORCÓW ALTERNATYWNY ROZWÓJ GMINY";"KWW ARG";"ul. Żeromskiego 1/4 24-200 Bełżyce";"DLB-7503-233/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Kamil Twardowski";"Kamil Twardowski";"gm. Bełżyce";"060901"
"KOMITET WYBORCZY WYBORCÓW ""AMBITNI""";"KWW ""AMBITNI""";"84-351 Lędziechowo 18/1";"DSL-7503-104/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Krzysztof Lech Nowatkowski";"Krzysztof Lech Nowatkowski";"gm. Nowa Wieś Lęborska";"220804"
"KOMITET WYBORCZY WYBORCÓW ""AMIKUS""";"KWW ""AMIKUS""";"ul. Lubelska 27, 05-304 Stanisławów";"DSD.7503-121/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Halina Maria Andrasik-Zielińska";"Halina Maria Andrasik-Zielińska";"gm. Stanisławów";"141214"
"KOMITET WYBORCZY WYBORCÓW ANASTAZJI DĄBROWSKIEJ";"KWW ANASTAZJI DĄBROWSKIEJ";"ul. Leśna 5B/1, 59-305 Rudna";"DLG-7503-142/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Wioletta Jadwiga Nosal";"Wioletta Jadwiga Nosal";"gm. Rudna";"021103"
"KOMITET WYBORCZY WYBORCÓW ANATOLA NAJMOWICZA";"KWW ANATOLA NAJMOWICZA";"ul. Dworcowa 12/10, 77-430 Krajenka";"DPI-7503-II-79/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Jadwiga Najmowicz";"Jadwiga Najmowicz";"gm. Krajenka";"303103"
"KOMITET WYBORCZY WYBORCÓW ""ANDRYCHY""";"KWW ""ANDRYCHY""";"Humięcino - Andrychy 12, 06-460 Grudsk";"DCI-7503-159/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Marek Kowalski";"Marek Kowalski";"gm. Grudusk";"140205"
"KOMITET WYBORCZY WYBORCÓW ""ANDRZEJA BANCERZA""";"KWW ""ANDRZEJA BANCERZA""";"Kolno 12 B, 11-311, Kolno";"DOL-7503-97/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Aleksandra Bancerz";"Aleksandra Bancerz";"gm. Kolno";"281408"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA BASARABA";"KWW A. BASARABA";"Kwiatowa 30, 78-111, Sianożęty";"DKS-7503-33/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Krzysztof Andrzej Matuszewski";"Krzysztof Andrzej Matuszewski";"gm. Ustronie Morskie";"320807"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA BAWŁOWICZA";"KWW A. BAWŁOWICZ";"ul. Nowogrodzka 4 , 66-010 , Kaczenice";"DZG-7503-65/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Andrzej Mirosław Bawłowicz";"Andrzej Mirosław Bawłowicz";"gm. Nowogród Bobrzański";"080905"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA BEZDZIECKIEGO";"KWW ANDRZEJA BEZDZIECKIEGO";"ul. Mazurska 23/3, 19-314 Kalinowo";"DOL-7503-68/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Tadeusz Marcinowski";"Tadeusz Marcinowski";"gm. Kalinowo";"280503"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA BRODZIKA";"KWW ANDRZEJA BRODZIKA";"Żabieniec 6, 11-700, Mrągowo";"DOL-7503-167/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Sabina Wojtczuk";"Sabina Wojtczuk";"gm. Piecki";"281004"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA BURSZEWSKIEGO";"KWW ANDRZEJA BURSZEWSKIEGO";"ul. Królowej Jadwigi 5, 62-710 Wyszyna";"DKN-7503-245/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Aleksandra Burszewska";"Aleksandra Burszewska";"gm. Władysławów";"302709"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA CHMIELEWSKIEGO NASZ DOM AUGUSTÓW";"KWW A. CHMIELEWSKIEGO NASZ DOM AUGUSTÓW";"ul. Kasztanowa 35 a, 16-300 Augustów";"DSW-7503-17-108/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Przemysław Andrzej Chmielewski";"Alicja Okuńska";"woj. podlaskie";""
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA CYBULSKIEGO";"KWW ANDRZEJA CYBULSKIEGO";"ul. Rycerska 9/3, 11-400, Ketrzyn";"DOL-7503-162/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Kazimierz Lubera";"Kazimierz Lubera";"gm. Kętrzyn";"280803"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA DALKOWSKIEGO";"KWW ANDRZEJA DALKOWSKIEGO";"Kolno 38/4, 11-311 Kolno";"DOL-7503-173/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Ryszard Flis";"Ryszard Flis";"gm. Kolno";"281408"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA DRĄG";"KWW ANDRZEJA DRĄG";"59-730 Nowogrodziec, ul. Bolesławiecka 16/3";"DJG-7503-225/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Andrzej Mariusz Drąg";"Andrzej Mariusz Drąg";"gm. Nowogrodziec";"020104"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA DYLEWSKIEGO RAZEM DLA LĄDKA";"KWW ANDRZEJA DYLEWSKIEGO RAZEM DLA LĄDKA";"Radochów 64, 57-540 Lądek Zdrój";"DWB-7503-186/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Joanna Walaszczyk";"Joanna Walaszczyk";"gm. Lądek-Zdrój";"020808"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA DZIWISZA";"KWW ANDRZEJA DZIWISZA";"34-721 Raba Wyżna 532";"DNS-7503-143/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Katarzyna Agnieszka Święchowicz";"Katarzyna Agnieszka Święchowicz";"gm. Raba Wyżna";"121111"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA FERDYNUSA";"KWW ANDRZEJA FERDYNUSA";"UL. OGRODOWA 3, JÓZEFÓW, 98-410 CZASTARY";"DSR-7503-40/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"SABINA BARBARA FERDYNUS";"SABINA BARBARA FERDYNUS";"gm. Czastary";"101802"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA FIRAŃSKIEGO";"KWW ANDRZEJA FIRAŃSKIEGO";"GRODZICZNO 37 13-324 GRODZICZNO";"DEL-7503-238/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"JOLANTA FIRAŃSKA";"JOLANTA FIRAŃSKA";"gm. Grodziczno";"281203"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA GAGO";"KWW ANDRZEJA GAGO";"ul. Sokołowska 26, 08-300 Grochów, gm. Sokołów Podlaski";"DSD.7503-74/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Zbigniew Marek Małyszka";"Zbigniew Marek Małyszka";"gm. Sokołów Podlaski";"142908"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA GATYŃSKIEGO";"KWW ANDRZEJA GATYŃSKIEGO";"ul. Sierpecka 58, 87-630 Skępe";"DWL-7503-18/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Marek Stefan Polichnowski";"Marek Stefan Polichnowski";"gm. Skępe";"040807"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA GRABOWSKIEGO";"KWW ANDRZEJA GRABOWSKIEGO";"Ociesęki 62, 26-035 Raków";"DKC1-7503-86/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Jerzy Kazimierz Nowak";"Jerzy Kazimierz Nowak";"gm. Raków";"260416"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA GRZESZCZAKA ""ODNOWA""";"KWW ANDRZEJA GRZESZCZAKA ODNOWA";"ul. Konińska 19B, 62-586 Rzgów";"DKN-7503-114/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Marek Przespolewski";"Marek Przespolewski";"gm. Rzgów";"301008"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA GRZYBOWSKIEGO";"KWW ANDRZEJA GRZYBOWSKIEGO";"Gumieniec 6, 77-235 Trzebielino";"DSL-7503-164/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Dorota Piekarska";"Dorota Piekarska";"gm. Trzebielino";"220109"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA HOLDENMAJERA";"KWW ANDRZEJA HOLDENMAJERA";"ul. Władysława Jagiełły 12/2, 59-330, Ścinawa";"DLG-7503-4/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Joanna Agata Holdenmajer";"Joanna Agata Holdenmajer";"gm. Ścinawa";"021104"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA HRYCIUKA";"KWW ""ANDRZEJA HRYCIUKA""";"Trzebieszów Drugi 99A, 21-404, Trzebieszów";"DBP-7503-150/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Katarzyna Krzyszczak";"Katarzyna Krzyszczak";"gm. Trzebieszów";"061109"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA HUMENIUKA";"KWW ANDRZEJA HUMENIUKA";"Wierzbno 89, 55-216 Wierzbno";"DWR-7503-66/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Barbara Maria Humeniuk";"Barbara Maria Humeniuk";"gm. Domaniów";"021502"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA JABŁOŃSKIEGO";"KWW ANDRZEJA JABŁOŃSKIEGO";"Okół 292A, 27-423 Bałtów";"DKC2-7503-69/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Piotr Tomasz Wyroda";"Piotr Tomasz Wyroda";"gm. Bałtów";"260702"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA JAMIELUCHY";"KWW ANDRZEJA JAMIELUCHY";"KŁOCKO 3, 98-200 SIERADZ";"DSR-7503-133/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"BEATA MONIKA JAMIELUCHA";"BEATA MONIKA JAMIELUCHA";"gm. Sieradz";"101408"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA JANKA";"KWW ANDRZEJA JANKA";"Świerki 41, 57-450 Nowa Ruda";"DWB-7503-99/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Antoni Jan Stebnicki";"Antoni Jan Stebnicki";"gm. Nowa Ruda";"020811"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA JANKOWSKIEGO";"KWW ANDRZEJA JANKOWSKIEGO";"ul. Głowackiego 1, 95-010 Stryków";"DŁD-7503-33/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Barbara Feliksa Antczak-Sadowska";"Barbara Feliksa Antczak-Sadowska";"gm. Stryków";"102008"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA JAROSIŃSKIEGO";"KWW ANDRZEJA JAROSIŃSKIEGO";"Rybaki 29 , 66-614 Maszewo";"DZG-7503-98/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Andrzej Piotr Jarosiński";"Andrzej Piotr Jarosiński";"gm. Maszewo";"080207"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA JASINY";"KWW ANDRZEJA JASINY";"Metelin 63, 22-500 Hrubieszów";"DZM-7503-248/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Krystyna Eugenia Knap";"Krystyna Eugenia Knap";"gm. Hrubieszów";"060404"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA KALANKIEWICZA";"KWW ANDRZEJA KALANKIEWICZA";"Ciemnoszyje 51, 19-200 Grajewo";"DLM-7503-72/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Marzena Małgorzata Kalankiewicz";"Marzena Małgorzata Kalankiewicz";"gm. Grajewo";"200402"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA KAMIŃSKIEGO";"KWW ANDRZEJA KAMIŃSKIEGO";"Witkowice 58, 37-455 Radomyśl nad Sanem";"DTG-7503-135/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Katarzyna Kamińska";"Katarzyna Kamińska";"gm. Radomyśl nad Sanem";"181804"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA KAPAŁKA";"KWW ANDRZEJA KAPAŁKA";"Rataje Karskie 53, 28-133 Pacanów";"DKC2-7503-161/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Ewelina Kuźnia";"Ewelina Kuźnia";"gm. Pacanów";"260104"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA KARWACKIEGO";"KWW - AK";"ul. Sosnowa 48, 76-113 Postomino";"DKS-7503-231/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Jakub Karwacki";"Jakub Karwacki";"gm. Postomino";"321305"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA KAWAŁKO GMINA TO MY WSZYSCY";"KWW ANDRZEJA KAWAŁKO GMINA TO MY WSZYSCY";"Rachanie 93, 22-640 Rachanie";"DZM-7503-12/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Jan Turzyniecki";"Jan Turzyniecki";"gm. Rachanie";"061807"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA KAŹMIERCZAKA Z KAMIONEK";"KWW ANDRZEJA KAŹMIERCZAKA Z KAMIONEK";"ul. Jarzębinowa 7, 62-023, Kamionki";"DPZ-7503-I-151/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Iwona Grażyna Krela-Kaźmierczak";"Iwona Grażyna Krela-Kaźmierczak";"gm. Kórnik";"302109"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA KOBIERY";"KWW ANDRZEJA KOBIERY";"ul. Polna 28, 26-625 Wolanów";"DRD-7503/87/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Agnieszka Kobiera";"Agnieszka Kobiera";"gm. Wolanów";"142512"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA KOZY";"KWW ANDRZEJA KOZY";"58-521 Jeżów Sudecki, ul. Polna 19";"DJG-7503-131/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Adriana Monika Politaj";"Adriana Monika Politaj";"gm. Jeżów Sudecki";"020606"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA KRASNODĘBSKIEGO";"KWW ANDRZEJA KRASNODĘBSKIEGO";"ul. Polna 20, 08-330 Kosów Lacki";"DSD.7503-110/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Bogumiła Siniakowska";"Bogumiła Siniakowska";"gm. Kosów Lacki";"142905"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA KRAWCZYKA";"KWW ANDRZEJA KRAWCZYKA";"Sosnówek 4, 06-333 Chorzele";"DOS-7503-166/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Stanisław Rosiński";"Stanisław Rosiński";"gm. Chorzele";"142202"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA KRZEMIENIA ""NASZA GMINA""";"KWW ANDRZEJA KRZEMIENIA ""NASZA GMINA""";"Grodziec Mały 86A, 67-200 Głogów";"DLG-7503-138/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Oskar Andrzej Krzemień";"Oskar Andrzej Krzemień";"gm. Głogów";"020302"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA KRZYMOWSKIEGO";"KWW ANDRZEJA KRZYMOWSKIEGO";"Jałowiec 14, 82-420, Jałowiec, gm. Ryjewo";"DGD-75031-211/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Marianna Mieczysława Wasążnik";"Marianna Mieczysława Wasążnik";"gm. Ryjewo";"220705"
"KOMITET WYBORCZY WYBORCÓW ""ANDRZEJA KRZYWONIA""";"KWW ""ANDRZEJA KRZYWONIA""";"ul. Wachowska 20, 46-300 Olesno";"DOP1-7503-137/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Krzywoń Urszula Agnieszka";"Krzywoń Urszula Agnieszka";"gm. Olesno";"160803"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA KUNTA";"KWW ANDRZEJA KUNTA";"Kardynała Stefana Wyszyńskiego 23, 66-470, Kostrzyn nad Odrą";"DGW-7503-68/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Andrzej  Jan Łaskawy";"Mirella Agnieszka Ławońska";"woj. lubuskie";""
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA KUPAJA";"KWW ANDRZEJA KUPAJA";"Włodzimierz 6, 62-862 Iwanowice";"DKL-7503-117/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Barbara Łazarek";"Barbara Łazarek";"gm. Szczytniki";"300710"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA KUZIORA";"KWW ANDRZEJA KUZIORA";"ul. Różana 21, 42-290 Blachownia";"DCZ-7503-317/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Irena Elżbieta Kuzior";"Irena Elżbieta Kuzior";"gm. Blachownia";"240401"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA KWIATKOWSKIEGO SOLIDARNA WIEŚ";"KWW ANDRZEJ KWIATKOWSKI SOLIDARNA WIEŚ";"Wójcza 22A, 28-133 Pacanów";"DKC2-7503-223/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Anna Izabela Kwiatkowska";"Anna Izabela Kwiatkowska";"gm. Pacanów";"260104"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA LECHOWSKIEGO";"KWW ANDRZEJA LECHOWSKIEGO";"RUBINOWA 4/4 82-310 GRONOWO GÓRNE";"DEL-7503-53/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"ANNA BĄK";"ANNA BĄK";"gm. Elbląg";"280401"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA LENART";"KWW ANDRZEJA LENART";"Szczypiorno 20, 05-180 Szczypiorno";"DWW-75031-127/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Tadeusz Więch";"Tadeusz Więch";"gm. Pomiechówek";"141405"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA LIPIŃSKIEGO";"KWW ANDRZEJA LIPIŃSKIEGO";"ul. Tkacka 3b, 58-350 Mieroszów";"DWB-7503-59/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Barbara Włodarczyk";"Barbara Włodarczyk";"gm. Mieroszów";"022106"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA LODZIŃSKIEGO";"KWW A. LODZIŃSKIEGO";"GIBASZEW 12, 99-200 PODDĘBICE";"DSR-7503-57/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"JULIAN JAN WITASZCZYK";"JULIAN JAN WITASZCZYK";"gm. Poddębice";"101103"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA LUBIŃSKIEGO ""ROZWÓJ GMINY""";"KWW ANDRZEJA LUBIŃSKIEGO ""ROZWÓJ GMINY""";"84-302 Leśnice 3/12";"DSL-7503-116/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Anna Teresa Lubińska";"Anna Teresa Lubińska";"gm. Nowa Wieś Lęborska";"220804"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA MAĆKOWSKIEGO";"KWW ANDRZEJA MAĆKOWSKIEGO";"Werkowo 48, 62-105 Łekno";"DPI-7503-II-165/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Natalia Pecyna";"Natalia Pecyna";"gm. Wągrowiec";"302807"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA MAGULLI";"KWW ANDRZEJA MAGULLI";"ul. Pucka 1, 84-110, Minkowice, gm. Krokowa";"DGD-75031-195/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Bernadeta Magulla";"Bernadeta Magulla";"gm. Krokowa";"221106"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA MAŁKIŃSKIEGO";"KWW  ANDRZEJA MAŁKIŃSKIEGO";"ul. Kasztanowa 5, 16-500 Sejny";"DSW-7503-17-99/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Małgorzata Małkińska";"Małgorzata Małkińska";"m. Sejny";"200901"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA MATHIAK";"KWW ANDRZEJA MATHIAK";"Dąbrówka Królewska 20, 86-330 Gruta";"DTR-7503-123/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Andrzej Bronisław Mathiak";"Andrzej Bronisław Mathiak";"gm. Gruta";"040602"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA MAZURA";"KWW ANDRZEJA MAZURA";"ul.Brzeska 15, 22-107 Sawin";"DCH-7503-35/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Barbara Celina Łopąg";"Barbara Celina Łopąg";"gm. Sawin";"060310"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA MAZURA UŚCIE GORLICKIE POM";"KWW ANDRZEJA MAZURA UŚCIE GORLICKIE POM";"38-315 Uście Gorlickie 285";"DNS-7503-268/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Lidia Alicja Mazur";"Lidia Alicja Mazur";"gm. Uście Gorlickie";"120510"
"KOMITET WYBORCZY WYBORCÓW ANDRZEJA MILCZARKA";"KWW ANDRZEJA MILCZARKA";"ul. Rynek 54, 05-079 Okuniew";"DSD.7503-142/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Adam Lemieszka";"Adam Lemieszka";"gm. Halinów";"141207"
